"cif";"customer_name";"age_group";"income_bracket";"region";"account_type";"risk_profile";"preferences";"created_at";"updated_at"
100588;Eric Edwards;"26-35";<25k;Semarang;Basic;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""aggressive""}";2024-01-29 02:33:40.032;2025-07-12 19:43:34.017
100619;Olivia Patterson;"56-65";"150k+";Medan;Premium;High;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2025-07-19 04:31:07.709;2025-07-21 03:45:39.359
100621;Charlotte Murphy-Sullivan;"36-45";<25k;Palembang;Gold;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""moderate""}";2025-06-10 10:41:11.467;2025-07-14 07:06:45.615
100641;Wulan Wulandari;"46-55";"150k+";Semarang;Premium;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""branch"", ""investment_interest"": ""moderate""}";2024-07-28 05:22:25.554;2025-08-02 03:24:28.671
100642;Matthew Hall;"36-45";"150k+";Medan;Basic;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""aggressive""}";2024-12-12 08:38:55.899;2025-07-14 00:36:14.151
100664;Michael Carter;"18-25";"25k-50k";Semarang;Premium;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2023-10-15 11:30:20.232;2025-08-03 19:41:34.212
100665;Ariel Porter;"56-65";"100k-150k";Surabaya;Premium;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""branch"", ""investment_interest"": ""aggressive""}";2025-07-02 18:18:30.094;2025-07-24 01:18:34.902
100684;Peter Jones;"26-35";"75k-100k";Makassar;Basic;Medium;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2024-01-27 00:16:26.524;2025-07-26 00:47:32.101
100748;Teresa Valencia;"65+";"75k-100k";Makassar;Premium;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""branch"", ""investment_interest"": ""aggressive""}";2024-11-18 09:49:54.955;2025-07-24 12:02:57.347
100837;Ms Gemma Williamson;"36-45";"150k+";Bandung;Basic;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""branch"", ""investment_interest"": ""moderate""}";2024-04-26 12:50:23.548;2025-07-10 11:11:39.465
100971;Amber Bell-Daniels;"36-45";"100k-150k";Bandung;Basic;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2024-01-26 14:53:35.817;2025-07-14 09:15:45.218
101065;Shannon Savage;"65+";"150k+";Bandung;Platinum;Medium;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2024-11-12 17:37:20.000;2025-07-28 05:36:10.042
101105;Mr Gavin Cox;"26-35";"75k-100k";Semarang;Basic;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""conservative""}";2024-02-09 22:01:30.699;2025-07-10 08:06:24.210
101108;June Fox;"18-25";"75k-100k";Jakarta;Basic;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""aggressive""}";2023-08-18 17:28:34.189;2025-07-16 06:16:48.751
101158;Kimberly Thompson;"65+";<25k;Bandung;Basic;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""moderate""}";2024-12-18 23:28:08.606;2025-07-26 03:56:11.186
101206;drg. Uli Suartini;"56-65";"75k-100k";Surabaya;Platinum;Medium;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""aggressive""}";2024-10-27 19:45:43.841;2025-07-24 00:31:48.840
101306;Rebecca Wilson MD;"18-25";"150k+";Surabaya;Basic;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2024-07-18 16:01:15.340;2025-08-04 06:26:01.411
101360;Justin Lewis;"65+";"50k-75k";Palembang;Basic;High;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""branch"", ""investment_interest"": ""aggressive""}";2024-11-28 13:04:14.876;2025-07-20 21:39:10.820
101367;Sutan Balangga Mangunsong, S.H.;"26-35";<25k;Bandung;Gold;Medium;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2025-02-10 06:37:37.720;2025-07-24 09:26:01.821
101388;Shane Rose;"65+";"75k-100k";Makassar;Basic;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""conservative""}";2024-02-21 16:50:04.821;2025-07-25 21:57:43.044
101427;Dr Christian O'Connor;"36-45";"50k-75k";Medan;Basic;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""aggressive""}";2025-04-23 10:26:59.791;2025-07-29 12:42:51.651
100182;Ganjaran Latupono;"26-35";"50k-75k";Surabaya;Basic;Medium;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""aggressive""}";2023-11-13 15:35:45.394;2025-07-09 16:21:58.103
100194;Jason Hernandez;"36-45";"25k-50k";Denpasar;Platinum;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""conservative""}";2023-12-01 05:04:39.050;2025-07-20 02:08:29.939
100235;R. Cici Pradana, S.Kom;"26-35";<25k;Medan;Basic;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2025-03-30 13:23:08.247;2025-07-30 08:03:32.251
100314;Mr David Allen;"26-35";<25k;Surabaya;Business;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2025-06-26 01:34:00.244;2025-07-30 01:33:43.140
100407;Jeffrey Ward;"46-55";<25k;Denpasar;Premium;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2023-09-08 08:47:39.687;2025-07-13 18:51:39.640
100411;Jessica Fowler;"26-35";"75k-100k";Jakarta;Premium;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2025-05-07 16:07:56.181;2025-07-25 16:35:20.337
100451;R.A. Nadia Gunarto, M.Pd;"26-35";"75k-100k";Jakarta;Premium;Medium;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2025-04-30 17:06:46.501;2025-07-19 12:36:06.959
100468;Carl Khan;"46-55";"50k-75k";Bandung;Platinum;Medium;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2024-01-08 05:35:56.411;2025-07-19 20:49:53.407
100529;Charles King;"56-65";"50k-75k";Palembang;Gold;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""branch"", ""investment_interest"": ""conservative""}";2024-09-10 01:06:06.948;2025-07-25 14:35:42.181
100542;Joel Morris;"46-55";"150k+";Palembang;Gold;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2024-06-01 11:26:07.512;2025-07-19 09:12:10.488
100546;Steven Nelson;"18-25";"75k-100k";Denpasar;Basic;Medium;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""aggressive""}";2023-08-27 00:28:03.540;2025-07-06 10:51:49.977
100584;Victor Walton;"56-65";"150k+";Semarang;Basic;High;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""aggressive""}";2024-09-16 22:33:06.952;2025-07-22 01:55:39.985
100616;Indra Melani, S.Psi;"65+";"75k-100k";Makassar;Premium;High;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2024-11-04 06:10:47.380;2025-07-24 07:51:27.531
100638;Sean Swift;"56-65";"50k-75k";Makassar;Premium;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""conservative""}";2024-09-05 21:25:36.654;2025-07-21 21:20:40.666
100640;Talia Laksita;"46-55";"150k+";Palembang;Basic;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""conservative""}";2024-07-27 08:06:56.656;2025-07-20 03:11:02.047
100643;Olga Gunarto;"18-25";"150k+";Jakarta;Basic;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""aggressive""}";2023-11-05 09:24:52.017;2025-08-02 08:47:48.123
100692;Bruce Buckley;"56-65";"150k+";Bandung;Basic;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""conservative""}";2024-09-05 09:52:35.170;2025-07-30 13:38:17.574
100730;Charlie Forster;"65+";"75k-100k";Denpasar;Platinum;Medium;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2024-05-13 08:13:11.783;2025-08-01 02:21:46.333
100738;Mrs. Lorraine Peterson;"46-55";"75k-100k";Denpasar;Premium;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""conservative""}";2025-07-21 23:41:34.501;2025-08-03 23:51:39.914
100740;Tgk. Drajat Widiastuti;"56-65";"50k-75k";Medan;Premium;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2024-09-08 10:16:55.896;2025-07-10 14:23:00.613
100744;Jonathon Williams;"46-55";"100k-150k";Jakarta;Gold;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""conservative""}";2024-05-25 14:28:54.142;2025-07-20 17:54:34.027
100752;Christopher Wallace Jr.;"46-55";<25k;Bandung;Premium;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2024-09-06 15:36:21.588;2025-07-20 08:46:20.011
100772;Zoe Pratt-Williams;"36-45";"50k-75k";Denpasar;Basic;Medium;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2023-11-23 13:21:20.174;2025-07-06 12:44:10.379
100791;John Walker;"18-25";"75k-100k";Medan;Premium;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2023-09-06 13:11:33.842;2025-07-06 21:14:34.873
100800;Danny West;"65+";"150k+";Makassar;Basic;Medium;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""moderate""}";2024-12-16 19:56:34.746;2025-07-24 23:28:46.313
100844;Dalimin Napitupulu;"18-25";"25k-50k";Medan;Premium;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2023-09-09 18:25:49.186;2025-07-11 10:50:05.551
100977;Alexander Wilkinson;"65+";<25k;Medan;Platinum;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""conservative""}";2025-05-27 19:32:27.517;2025-07-09 17:29:50.922
100978;Lori Barnett;"56-65";"100k-150k";Medan;Premium;Medium;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2025-01-15 13:22:09.949;2025-07-23 21:03:57.311
101035;Arthur Farmer;"46-55";"100k-150k";Jakarta;Basic;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2024-04-22 16:01:11.826;2025-07-19 13:17:48.285
101093;Elizabeth Adams;"46-55";"50k-75k";Semarang;Basic;High;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2025-03-14 09:59:50.272;2025-07-14 12:38:11.904
101128;Mr Lawrence Singh;"65+";"100k-150k";Medan;Premium;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2025-06-03 03:55:40.658;2025-08-01 23:44:16.820
101145;Heather Parker;"46-55";"50k-75k";Denpasar;Basic;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""moderate""}";2025-03-08 13:52:52.366;2025-07-29 10:23:41.784
101264;Nancy Cox;"56-65";"150k+";Palembang;Basic;Medium;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2024-10-01 00:36:49.982;2025-07-27 16:10:17.647
101275;Mrs Lydia Pearce;"46-55";<25k;Medan;Basic;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""aggressive""}";2024-05-22 10:22:52.425;2025-07-25 08:07:22.811
101294;Amelia Kuswandari;"46-55";<25k;Palembang;Business;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2025-07-22 11:39:00.669;2025-07-20 12:16:50.461
101473;Mr Leigh Collins;"26-35";"150k+";Surabaya;Gold;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2025-03-05 13:56:16.030;2025-07-17 19:17:13.727
100171;Laura Woods;"26-35";<25k;Bandung;Platinum;Medium;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""aggressive""}";2024-01-16 20:51:38.628;2025-07-24 07:12:39.398
100234;Lauren James;"18-25";<25k;Semarang;Premium;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""moderate""}";2024-09-06 04:11:35.434;2025-07-09 03:41:01.140
100249;Patricia Reed;"65+";"50k-75k";Palembang;Platinum;High;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2024-12-05 03:36:26.960;2025-07-28 18:57:04.250
100254;Brittany Mccarthy;"65+";"75k-100k";Bandung;Platinum;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2023-11-01 06:19:24.368;2025-07-24 09:22:48.211
100324;Maya Lazuardi;"46-55";"75k-100k";Surabaya;Premium;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""aggressive""}";2024-11-16 10:37:37.031;2025-07-17 16:36:10.356
100365;Chloe Jones;"26-35";"25k-50k";Palembang;Premium;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""aggressive""}";2023-11-26 00:08:53.733;2025-07-10 04:32:42.767
100454;Jasmine Keller;"56-65";"75k-100k";Jakarta;Premium;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2025-07-03 06:14:25.675;2025-07-17 04:10:48.399
100491;R.M. Danang Hakim, S.Sos;"26-35";"25k-50k";Jakarta;Basic;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2025-05-30 21:53:57.654;2025-07-11 00:57:19.622
100603;Yuliana Uwais;"36-45";"50k-75k";Denpasar;Gold;High;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""conservative""}";2024-02-08 19:03:10.569;2025-07-13 06:15:35.816
100620;Emily Coles-Mellor;"36-45";"25k-50k";Jakarta;Premium;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""branch"", ""investment_interest"": ""aggressive""}";2024-03-05 08:46:11.876;2025-07-23 18:53:20.622
100656;Louis Walker-Coleman;"65+";"75k-100k";Makassar;Basic;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""moderate""}";2025-01-05 00:20:12.350;2025-07-12 21:51:15.802
100741;Barry May;"56-65";"50k-75k";Jakarta;Premium;High;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""moderate""}";2024-09-30 16:05:52.510;2025-07-25 05:16:58.319
100778;Charles Durham;"46-55";"25k-50k";Bandung;Basic;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""conservative""}";2024-05-14 08:04:08.251;2025-07-09 19:43:19.664
100805;Jared Young;"46-55";"25k-50k";Denpasar;Gold;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""moderate""}";2024-06-16 10:43:38.984;2025-07-29 10:41:14.192
100849;Dodo Tamba, S.I.Kom;"65+";"50k-75k";Makassar;Basic;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2024-12-10 10:33:50.112;2025-07-16 06:42:55.081
100862;Joan Holmes;"18-25";"75k-100k";Jakarta;Premium;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2023-10-26 03:13:15.463;2025-07-08 22:06:58.155
100871;Mr Jason Rees;"26-35";"25k-50k";Surabaya;Basic;Medium;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2025-02-03 03:38:26.458;2025-07-28 01:26:52.134
100882;Iain Edwards;"65+";"100k-150k";Makassar;Basic;Medium;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2025-03-19 06:20:39.315;2025-07-25 09:42:49.240
100911;Alexander Barnes;"36-45";<25k;Denpasar;Basic;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2025-07-22 11:54:17.762;2025-07-29 01:19:05.881
100920;Deborah Shelton;"56-65";"75k-100k";Semarang;Basic;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""moderate""}";2024-08-10 17:13:11.605;2025-07-20 19:32:41.530
